countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi)
"Camp County, TX",48063,"Camp County, TX",48063,Camp County,TX,Camp County,TX,1,0.0
"Carson County, TX",48065,"Carson County, TX",48065,Carson County,TX,Carson County,TX,1,0.0
"Cass County, TX",48067,"Cass County, TX",48067,Cass County,TX,Cass County,TX,1,0.0
"Castro County, TX",48069,"Castro County, TX",48069,Castro County,TX,Castro County,TX,1,0.0
"Chambers County, TX",48071,"Chambers County, TX",48071,Chambers County,TX,Chambers County,TX,1,0.0
"Cherokee County, TX",48073,"Cherokee County, TX",48073,Cherokee County,TX,Cherokee County,TX,1,0.0
"Childress County, TX",48075,"Childress County, TX",48075,Childress County,TX,Childress County,TX,1,0.0
"Clay County, TX",48077,"Clay County, TX",48077,Clay County,TX,Clay County,TX,1,0.0
"Cochran County, TX",48079,"Cochran County, TX",48079,Cochran County,TX,Cochran County,TX,1,0.0
"Coke County, TX",48081,"Coke County, TX",48081,Coke County,TX,Coke County,TX,1,0.0
"Coleman County, TX",48083,"Coleman County, TX",48083,Coleman County,TX,Coleman County,TX,1,0.0
"Collin County, TX",48085,"Collin County, TX",48085,Collin County,TX,Collin County,TX,1,0.0
"Collingsworth County, TX",48087,"Collingsworth County, TX",48087,Collingsworth County,TX,Collingsworth County,TX,1,0.0
"Colorado County, TX",48089,"Colorado County, TX",48089,Colorado County,TX,Colorado County,TX,1,0.0
"Comal County, TX",48091,"Comal County, TX",48091,Comal County,TX,Comal County,TX,1,0.0
"Comanche County, TX",48093,"Comanche County, TX",48093,Comanche County,TX,Comanche County,TX,1,0.0
"Concho County, TX",48095,"Concho County, TX",48095,Concho County,TX,Concho County,TX,1,0.0
"Cooke County, TX",48097,"Cooke County, TX",48097,Cooke County,TX,Cooke County,TX,1,0.0
"Coryell County, TX",48099,"Coryell County, TX",48099,Coryell County,TX,Coryell County,TX,1,0.0
"Cottle County, TX",48101,"Cottle County, TX",48101,Cottle County,TX,Cottle County,TX,1,0.0
"Crane County, TX",48103,"Crane County, TX",48103,Crane County,TX,Crane County,TX,1,0.0
"Crockett County, TX",48105,"Crockett County, TX",48105,Crockett County,TX,Crockett County,TX,1,0.0
"Crosby County, TX",48107,"Crosby County, TX",48107,Crosby County,TX,Crosby County,TX,1,0.0
"Culberson County, TX",48109,"Culberson County, TX",48109,Culberson County,TX,Culberson County,TX,1,0.0
"Dallam County, TX",48111,"Dallam County, TX",48111,Dallam County,TX,Dallam County,TX,1,0.0
"Dallas County, TX",48113,"Dallas County, TX",48113,Dallas County,TX,Dallas County,TX,1,0.0
"Dawson County, TX",48115,"Dawson County, TX",48115,Dawson County,TX,Dawson County,TX,1,0.0
"Deaf Smith County, TX",48117,"Deaf Smith County, TX",48117,Deaf Smith County,TX,Deaf Smith County,TX,1,0.0
"Delta County, TX",48119,"Delta County, TX",48119,Delta County,TX,Delta County,TX,1,0.0
"Denton County, TX",48121,"Denton County, TX",48121,Denton County,TX,Denton County,TX,1,0.0
"DeWitt County, TX",48123,"DeWitt County, TX",48123,DeWitt County,TX,DeWitt County,TX,1,0.0
"Dickens County, TX",48125,"Dickens County, TX",48125,Dickens County,TX,Dickens County,TX,1,0.0
"Dimmit County, TX",48127,"Dimmit County, TX",48127,Dimmit County,TX,Dimmit County,TX,1,0.0
"Donley County, TX",48129,"Donley County, TX",48129,Donley County,TX,Donley County,TX,1,0.0
"Duval County, TX",48131,"Duval County, TX",48131,Duval County,TX,Duval County,TX,1,0.0
"Eastland County, TX",48133,"Eastland County, TX",48133,Eastland County,TX,Eastland County,TX,1,0.0
"Ector County, TX",48135,"Ector County, TX",48135,Ector County,TX,Ector County,TX,1,0.0
"Edwards County, TX",48137,"Edwards County, TX",48137,Edwards County,TX,Edwards County,TX,1,0.0
"Ellis County, TX",48139,"Ellis County, TX",48139,Ellis County,TX,Ellis County,TX,1,0.0
"El Paso County, TX",48141,"Do±a Ana County, NM",35013,El Paso County,TX,Do±a Ana County,NM,1,0.0
"El Paso County, TX",48141,"El Paso County, TX",48141,El Paso County,TX,El Paso County,TX,1,0.0
"Erath County, TX",48143,"Erath County, TX",48143,Erath County,TX,Erath County,TX,1,0.0
"Falls County, TX",48145,"Falls County, TX",48145,Falls County,TX,Falls County,TX,1,0.0
"Fannin County, TX",48147,"Fannin County, TX",48147,Fannin County,TX,Fannin County,TX,1,0.0
"Fayette County, TX",48149,"Fayette County, TX",48149,Fayette County,TX,Fayette County,TX,1,0.0
"Fisher County, TX",48151,"Fisher County, TX",48151,Fisher County,TX,Fisher County,TX,1,0.0
"Floyd County, TX",48153,"Floyd County, TX",48153,Floyd County,TX,Floyd County,TX,1,0.0
"Foard County, TX",48155,"Foard County, TX",48155,Foard County,TX,Foard County,TX,1,0.0
"Fort Bend County, TX",48157,"Fort Bend County, TX",48157,Fort Bend County,TX,Fort Bend County,TX,1,0.0
"Franklin County, TX",48159,"Franklin County, TX",48159,Franklin County,TX,Franklin County,TX,1,0.0
"Freestone County, TX",48161,"Freestone County, TX",48161,Freestone County,TX,Freestone County,TX,1,0.0
"Frio County, TX",48163,"Frio County, TX",48163,Frio County,TX,Frio County,TX,1,0.0
"Gaines County, TX",48165,"Gaines County, TX",48165,Gaines County,TX,Gaines County,TX,1,0.0
"Galveston County, TX",48167,"Galveston County, TX",48167,Galveston County,TX,Galveston County,TX,1,0.0
"Garza County, TX",48169,"Garza County, TX",48169,Garza County,TX,Garza County,TX,1,0.0
"Gillespie County, TX",48171,"Gillespie County, TX",48171,Gillespie County,TX,Gillespie County,TX,1,0.0
"Glasscock County, TX",48173,"Glasscock County, TX",48173,Glasscock County,TX,Glasscock County,TX,1,0.0
"Goliad County, TX",48175,"Goliad County, TX",48175,Goliad County,TX,Goliad County,TX,1,0.0
"Gonzales County, TX",48177,"Gonzales County, TX",48177,Gonzales County,TX,Gonzales County,TX,1,0.0
"Gray County, TX",48179,"Gray County, TX",48179,Gray County,TX,Gray County,TX,1,0.0
"Grayson County, TX",48181,"Grayson County, TX",48181,Grayson County,TX,Grayson County,TX,1,0.0
"Gregg County, TX",48183,"Gregg County, TX",48183,Gregg County,TX,Gregg County,TX,1,0.0
"Grimes County, TX",48185,"Grimes County, TX",48185,Grimes County,TX,Grimes County,TX,1,0.0
"Guadalupe County, TX",48187,"Guadalupe County, TX",48187,Guadalupe County,TX,Guadalupe County,TX,1,0.0
"Hale County, TX",48189,"Hale County, TX",48189,Hale County,TX,Hale County,TX,1,0.0
"Hall County, TX",48191,"Hall County, TX",48191,Hall County,TX,Hall County,TX,1,0.0
"Hamilton County, TX",48193,"Hamilton County, TX",48193,Hamilton County,TX,Hamilton County,TX,1,0.0
"Hansford County, TX",48195,"Hansford County, TX",48195,Hansford County,TX,Hansford County,TX,1,0.0
"Hardeman County, TX",48197,"Hardeman County, TX",48197,Hardeman County,TX,Hardeman County,TX,1,0.0
"Hardin County, TX",48199,"Hardin County, TX",48199,Hardin County,TX,Hardin County,TX,1,0.0
"Harris County, TX",48201,"Harris County, TX",48201,Harris County,TX,Harris County,TX,1,0.0
"Harrison County, TX",48203,"Harrison County, TX",48203,Harrison County,TX,Harrison County,TX,1,0.0
