PHEV,BEV
37.0,66.0
15.0,26.0
101.0,92.0
61.0,52.0
591.0,1134.0
463.0,1106.0
1059.0,2934.0
1650.0,4019.0
190.0,595.0
77.0,47.0
2088.0,3906.0
1050.0,2219.0
92.0,288.0
1225.0,2209.0
50.0,64.0
47.0,51.0
206.0,191.0
51.0,16.0
1350.0,3040.0
112.0,220.0
1112.0,1750.0
240.0,168.0
25.0,34.0
13.0,8.0
6.0,39.0
52.0,147.0
98.0,30.0
27.0,11.0
63.0,68.0
20.0,40.0
108.0,214.0
6.0,10.0
445.0,939.0
764.0,1368.0
1489.0,2646.0
2079.0,5071.0
399.0,771.0
44.0,48.0
13.0,51.0
2251.0,4309.0
1312.0,2914.0
140.0,309.0
1130.0,2023.0
39.0,49.0
36.0,26.0
178.0,281.0
15.0,27.0
36.0,44.0
12.0,14.0
1926.0,3578.0
205.0,98.0
1174.0,1917.0
177.0,187.0
13.0,39.0
80.0,124.0
13.0,39.0
12.0,25.0
84.0,296.0
143.0,179.0
7.0,94.0
14.0,29.0
128.0,131.0
62.0,52.0
657.0,1157.0
782.0,1528.0
1577.0,3399.0
2003.0,4656.0
440.0,983.0
3.0,39.0
32.0,87.0
2395.0,4905.0
1327.0,3227.0
219.0,399.0
1393.0,2423.0
37.0,29.0
65.0,46.0
213.0,353.0
36.0,39.0
28.0,26.0
13.0,26.0
1734.0,3614.0
161.0,238.0
27.0,11.0
1430.0,2397.0
38.0,27.0
224.0,312.0
26.0,78.0
91.0,72.0
25.0,27.0
26.0,12.0
124.0,262.0
157.0,133.0
12.0,13.0
12.0,10.0
27.0,110.0
13.0,14.0
20.0,51.0
98.0,217.0
17.0,78.0
698.0,1128.0
908.0,1856.0
1658.0,4648.0
2590.0,7427.0
453.0,973.0
7.0,47.0
14.0,11.0
26.0,13.0
3234.0,5542.0
1367.0,3744.0
133.0,263.0
1482.0,3272.0
41.0,70.0
86.0,40.0
161.0,310.0
39.0,44.0
23.0,1.0
38.0,59.0
2170.0,5642.0
13.0,14.0
116.0,198.0
1450.0,2242.0
55.0,27.0
292.0,277.0
25.0,26.0
25.0,23.0
44.0,47.0
27.0,58.0
50.0,52.0
13.0,8.0
112.0,212.0
274.0,148.0
13.0,6.0
49.0,140.0
77.0,81.0
137.0,201.0
48.0,40.0
531.0,1552.0
774.0,1506.0
1821.0,3368.0
11.0,34.0
2447.0,6219.0
398.0,1009.0
38.0,58.0
13.0,13.0
12.0,1.0
31.0,33.0
1998.0,4458.0
1448.0,2865.0
151.0,356.0
1626.0,2559.0
14.0,91.0
27.0,68.0
104.0,280.0
12.0,13.0
53.0,77.0
13.0,18.0
2039.0,4417.0
119.0,129.0
1369.0,2416.0
286.0,272.0
31.0,55.0
12.0,37.0
53.0,22.0
12.0,54.0
31.0,13.0
59.0,203.0
132.0,185.0
13.0,13.0
42.0,109.0
129.0,219.0
66.0,70.0
827.0,1068.0
740.0,1690.0
29.0,14.0
1686.0,4158.0
12.0,14.0
2456.0,6229.0
253.0,967.0
73.0,54.0
2.0,12.0
12.0,13.0
66.0,43.0
2775.0,6213.0
2056.0,5298.0
70.0,380.0
1476.0,3731.0
65.0,67.0
26.0,26.0
105.0,342.0
24.0,22.0
12.0,27.0
15.0,56.0
2397.0,5647.0
144.0,151.0
12.0,15.0
1130.0,3295.0
19.0,13.0
1.0,40.0
259.0,331.0
13.0,22.0
30.0,72.0
17.0,15.0
21.0,79.0
120.0,203.0
14.0,4.0
191.0,316.0
66.0,99.0
32.0,46.0
124.0,250.0
50.0,69.0
700.0,1428.0
1024.0,1730.0
14.0,27.0
1866.0,6053.0
24.0,23.0
2231.0,7723.0
342.0,1010.0
6.0,72.0
35.0,34.0
3182.0,6241.0
1547.0,4670.0
112.0,361.0
1690.0,3919.0
47.0,128.0
1.0,61.0
119.0,346.0
7.0,43.0
39.0,70.0
16.0,54.0
2353.0,5656.0
186.0,380.0
1418.0,2625.0
16.0,40.0
305.0,540.0
14.0,14.0
67.0,93.0
28.0,41.0
